Age,Gender,Income,Education,Employment,Online_Shop_Frequency,Avg_Spend_Per_Order,Frequent_Categories,Device_Used,Main_Purchase_Factor,Try_New_Platform,Pay_Faster_Delivery,Become_Regular_If_Personalized,Max_Loyalty_Program_Pay,Abandon_Cart_If_Slow,Allow_Data_Use_For_Rec,Checkout_Problem,Attn_Personalized_Recs,Price_Sensitivity,Switch_For_Discount,Shopping_Challenges,Desired_Features,Satisfaction_1_10,Preferred_Shop_Time,Would_Recommend
45-54,Male,$5000-$9999,Bachelor’s,Employed,3-5 times,$100-$199,"Fashion,Home & Kitchen",Mobile,Discounts,Neutral,No,Very Unlikely,<$5,Yes,No,High Shipping Costs,Rarely,Very Sensitive,Likely,"Product Quality,Payment Issues","AR Product Previews,One-Click Checkout",5,Evening,No
25-34,Male,$3000-$4999,Master’s,Unemployed,3-5 times,$50-$99,Groceries,Mobile,Delivery Speed,Very Likely,Maybe,Neutral,None,No,Yes,Slow Delivery,Rarely,Very Sensitive,Very Likely,Delivery Delays,"Flexible Returns,Live Chat Support",9,Evening,Maybe
35-44,Male,<$1000,Bachelor’s,Employed,6-10 times,$50-$99,Groceries,Mobile,Product Range,Unlikely,Yes,Likely,$10-19,No,Maybe,Security Concerns,Always,Not at All Sensitive,Neutral,Delivery Delays,Better Loyalty Rewards,6,Night,Yes
18-24,Female,$3000-$4999,High School,Retired,3-5 times,$50-$99,Books,Mobile,Price,Very Likely,No,Unlikely,<$5,Yes,No,Complicated Checkout,Never,Very Sensitive,Neutral,"Payment Issues,Lack of Variety,Product Quality","Flexible Returns,Other",6,Night,No
25-34,Male,$1000-$2999,High School,Employed,1-2 times,$20-$49,"Electronics,Groceries,Fashion",Mobile,Price,Unlikely,Yes,Neutral,$5-9,Sometimes,Yes,Slow Delivery,Sometimes,Neutral,Very Unlikely,Lack of Variety,Better Loyalty Rewards,7,Night,No
45-54,Female,"$10,000+",Master’s,Self-employed,1-2 times,<$20,"Groceries,Other",Mobile,Discounts,Neutral,Yes,Very Likely,<$5,No,Yes,Security Concerns,Sometimes,Somewhat Sensitive,Likely,"Delivery Delays,Other","Flexible Returns,One-Click Checkout,Better Loyalty Rewards",5,Evening,Maybe
25-34,Male,$3000-$4999,Bachelor’s,Student,3-5 times,$50-$99,Books,Mobile,Price,Very Likely,Maybe,Very Unlikely,<$5,Yes,Yes,High Shipping Costs,Sometimes,Not at All Sensitive,Likely,Lack of Variety,"One-Click Checkout,Better Loyalty Rewards",6,Evening,Yes
18-24,Male,$3000-$4999,Master’s,Student,10+ times,$20-$49,Groceries,Mobile,Reviews,Very Likely,Maybe,Neutral,<$5,Sometimes,No,High Shipping Costs,Sometimes,Somewhat Sensitive,Neutral,"Poor Customer Service,Lack of Variety,Payment Issues","One-Click Checkout,Flexible Returns",3,Night,No
25-34,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,$20-$49,"Fashion,Groceries,Health & Beauty",Desktop/Laptop,Price,Very Likely,Maybe,Likely,$5-9,No,Yes,Changed Mind,Rarely,Neutral,Likely,"Delivery Delays,Other",Live Chat Support,2,Evening,Yes
35-44,Female,<$1000,High School,Employed,10+ times,$20-$49,"Books,Groceries",Desktop/Laptop,Reviews,Neutral,Yes,Very Likely,<$5,No,No,Security Concerns,Never,Somewhat Sensitive,Neutral,"Other,Poor Customer Service,Product Quality","Flexible Returns,One-Click Checkout,AR Product Previews",9,Evening,Yes
35-44,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$100-$199,"Groceries,Home & Kitchen",Mobile,Discounts,Neutral,Yes,Neutral,$10-19,Yes,No,Slow Delivery,Rarely,Not Very Sensitive,Neutral,"Delivery Delays,Other,Payment Issues",Better Loyalty Rewards,9,Afternoon,No
25-34,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,"Groceries,Electronics",Desktop/Laptop,Price,Unlikely,No,Very Likely,<$5,Yes,Yes,Changed Mind,Sometimes,Not Very Sensitive,Very Likely,Lack of Variety,"Better Loyalty Rewards,Live Chat Support,Other",8,Afternoon,Yes
35-44,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,Books,Mobile,Reviews,Likely,Yes,Very Likely,None,Sometimes,No,Changed Mind,Often,Somewhat Sensitive,Very Likely,Other,"One-Click Checkout,Better Loyalty Rewards,Flexible Returns",10,Evening,Yes
18-24,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$20-$49,"Groceries,Fashion",Mobile,Delivery Speed,Very Unlikely,No,Unlikely,$5-9,No,No,Changed Mind,Sometimes,Neutral,Neutral,"Lack of Variety,Delivery Delays","Better Loyalty Rewards,One-Click Checkout,Live Chat Support",2,Morning,Maybe
35-44,Male,$3000-$4999,Bachelor’s,Unemployed,1-2 times,$20-$49,Other,Mobile,Product Range,Very Likely,Yes,Neutral,<$5,Sometimes,No,Other,Rarely,Very Sensitive,Unlikely,"Product Quality,Payment Issues,Other","Live Chat Support,AR Product Previews,Better Loyalty Rewards",9,Evening,No
18-24,Male,$3000-$4999,Doctorate,Employed,3-5 times,$50-$99,"Health & Beauty,Groceries,Books",Mobile,Product Range,Likely,No,Likely,<$5,No,Yes,Security Concerns,Sometimes,Not Very Sensitive,Likely,Lack of Variety,"Live Chat Support,Other,Flexible Returns",7,Afternoon,No
35-44,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,$50-$99,"Fashion,Home & Kitchen,Groceries",Desktop/Laptop,Price,Very Likely,No,Neutral,$5-9,Yes,Yes,Other,Rarely,Somewhat Sensitive,Neutral,Product Quality,Flexible Returns,5,Night,No
25-34,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$20-$49,"Books,Electronics,Fashion",Mobile,Discounts,Likely,Maybe,Very Unlikely,$10-19,Yes,No,Complicated Checkout,Rarely,Somewhat Sensitive,Very Likely,"Delivery Delays,Product Quality","Live Chat Support,Better Loyalty Rewards",8,Evening,No
55+,Female,"$10,000+",Bachelor’s,Employed,3-5 times,$100-$199,Books,Mobile,Product Range,Neutral,Yes,Neutral,None,No,Yes,Complicated Checkout,Sometimes,Not Very Sensitive,Likely,"Other,Poor Customer Service,Delivery Delays","AR Product Previews,Flexible Returns",6,Evening,Yes
25-34,Male,$5000-$9999,Doctorate,Employed,3-5 times,$20-$49,"Other,Health & Beauty,Electronics",Desktop/Laptop,Brand,Neutral,No,Very Unlikely,None,No,Yes,Changed Mind,Often,Very Sensitive,Unlikely,"Payment Issues,Poor Customer Service","Better Loyalty Rewards,Flexible Returns",5,Night,No
18-24,Male,$5000-$9999,Bachelor’s,Self-employed,6-10 times,$100-$199,Other,Desktop/Laptop,Discounts,Very Unlikely,Yes,Likely,None,Sometimes,Yes,Complicated Checkout,Sometimes,Neutral,Unlikely,"Product Quality,Other","Flexible Returns,One-Click Checkout",7,Afternoon,Yes
18-24,Other,<$1000,Bachelor’s,Employed,10+ times,$20-$49,Home & Kitchen,Mobile,Price,Very Likely,No,Likely,<$5,Yes,No,Complicated Checkout,Often,Very Sensitive,Unlikely,Product Quality,"Flexible Returns,Live Chat Support,Other",8,Morning,No
45-54,Male,$3000-$4999,High School,Employed,3-5 times,$50-$99,"Home & Kitchen,Groceries,Electronics",Other,Price,Likely,Yes,Likely,$5-9,Yes,Yes,Security Concerns,Sometimes,Very Sensitive,Likely,Payment Issues,Better Loyalty Rewards,7,Evening,Yes
25-34,Male,$1000-$2999,High School,Employed,1-2 times,$50-$99,"Fashion,Groceries,Other",Mobile,Delivery Speed,Neutral,Yes,Very Likely,<$5,No,No,High Shipping Costs,Rarely,Somewhat Sensitive,Neutral,"Poor Customer Service,Delivery Delays,Lack of Variety",Live Chat Support,5,Evening,No
25-34,Male,$1000-$2999,Bachelor’s,Retired,1-2 times,$50-$99,"Fashion,Electronics",Mobile,Brand,Likely,Maybe,Neutral,None,Yes,No,Complicated Checkout,Often,Neutral,Unlikely,Product Quality,AR Product Previews,4,Afternoon,Yes
45-54,Female,$3000-$4999,Master’s,Student,1-2 times,$100-$199,"Groceries,Health & Beauty",Mobile,Delivery Speed,Likely,Yes,Likely,None,No,Yes,Slow Delivery,Sometimes,Not Very Sensitive,Very Likely,"Product Quality,Lack of Variety,Payment Issues",Live Chat Support,8,Night,No
45-54,Female,$5000-$9999,Master’s,Employed,3-5 times,$20-$49,"Fashion,Health & Beauty,Groceries",Desktop/Laptop,Reviews,Neutral,Yes,Neutral,<$5,No,No,Complicated Checkout,Never,Somewhat Sensitive,Very Likely,"Product Quality,Payment Issues,Other",Live Chat Support,6,Evening,No
45-54,Male,$1000-$2999,Bachelor’s,Retired,3-5 times,$20-$49,"Home & Kitchen,Groceries",Mobile,Reviews,Very Likely,No,Likely,<$5,No,No,Changed Mind,Sometimes,Neutral,Likely,"Product Quality,Lack of Variety",One-Click Checkout,8,Night,Yes
25-34,Male,$5000-$9999,High School,Employed,3-5 times,<$20,"Books,Electronics",Desktop/Laptop,Discounts,Neutral,No,Very Likely,<$5,Yes,Maybe,Security Concerns,Often,Somewhat Sensitive,Likely,Lack of Variety,AR Product Previews,3,Evening,No
18-24,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$100-$199,Health & Beauty,Mobile,Brand,Likely,Yes,Likely,None,Yes,No,Security Concerns,Never,Neutral,Likely,Lack of Variety,Live Chat Support,7,Evening,No
25-34,Female,$3000-$4999,High School,Employed,6-10 times,$50-$99,"Other,Books",Desktop/Laptop,Brand,Unlikely,No,Neutral,None,Sometimes,Yes,Other,Rarely,Not Very Sensitive,Likely,"Product Quality,Delivery Delays,Other","Better Loyalty Rewards,Live Chat Support",5,Night,Maybe
25-34,Female,<$1000,Master’s,Employed,6-10 times,$20-$49,Fashion,Desktop/Laptop,Discounts,Likely,No,Neutral,$20+,Sometimes,Yes,Slow Delivery,Sometimes,Very Sensitive,Very Unlikely,Other,Better Loyalty Rewards,7,Afternoon,Yes
35-44,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,$20-$49,"Home & Kitchen,Health & Beauty",Desktop/Laptop,Price,Unlikely,No,Unlikely,$10-19,Sometimes,No,Slow Delivery,Sometimes,Neutral,Very Unlikely,Lack of Variety,One-Click Checkout,7,Night,No
35-44,Female,$5000-$9999,Other,Student,1-2 times,$100-$199,"Home & Kitchen,Health & Beauty,Electronics",Mobile,Price,Likely,No,Likely,$5-9,Yes,Maybe,Complicated Checkout,Often,Somewhat Sensitive,Very Likely,Product Quality,Live Chat Support,10,Morning,No
35-44,Female,$3000-$4999,High School,Employed,Never,$20-$49,Electronics,Mobile,Reviews,Very Unlikely,Maybe,Unlikely,$10-19,No,Maybe,Complicated Checkout,Never,Very Sensitive,Likely,Other,"Live Chat Support,Better Loyalty Rewards",7,Evening,Yes
18-24,Female,<$1000,Bachelor’s,Unemployed,1-2 times,$50-$99,"Groceries,Home & Kitchen",Mobile,Discounts,Very Likely,Yes,Neutral,None,Yes,Maybe,High Shipping Costs,Sometimes,Not Very Sensitive,Very Likely,"Product Quality,Poor Customer Service","Other,Better Loyalty Rewards",8,Evening,Yes
18-24,Female,"$10,000+",Master’s,Retired,3-5 times,$100-$199,"Groceries,Health & Beauty,Fashion",Desktop/Laptop,Price,Neutral,Yes,Very Unlikely,<$5,Sometimes,Maybe,Complicated Checkout,Sometimes,Very Sensitive,Very Likely,"Other,Payment Issues,Product Quality","Better Loyalty Rewards,AR Product Previews",3,Night,No
55+,Male,$1000-$2999,Master’s,Employed,1-2 times,$20-$49,"Groceries,Other,Electronics",Mobile,Price,Likely,Maybe,Neutral,None,Yes,Yes,High Shipping Costs,Sometimes,Very Sensitive,Likely,"Other,Payment Issues","One-Click Checkout,Better Loyalty Rewards",5,Evening,Yes
45-54,Female,$3000-$4999,Bachelor’s,Student,1-2 times,$50-$99,"Books,Groceries",Mobile,Delivery Speed,Likely,Yes,Very Likely,$5-9,No,Yes,Complicated Checkout,Rarely,Somewhat Sensitive,Very Likely,"Delivery Delays,Payment Issues",One-Click Checkout,7,Morning,No
25-34,Female,$5000-$9999,Bachelor’s,Employed,Never,$50-$99,Electronics,Tablet,Price,Neutral,Yes,Very Unlikely,$5-9,Yes,Maybe,Changed Mind,Sometimes,Somewhat Sensitive,Likely,"Lack of Variety,Delivery Delays","AR Product Previews,Live Chat Support",9,Evening,No
35-44,Female,$3000-$4999,Doctorate,Employed,3-5 times,$100-$199,"Health & Beauty,Fashion,Books",Desktop/Laptop,Reviews,Neutral,Maybe,Likely,<$5,Yes,No,High Shipping Costs,Never,Very Sensitive,Likely,"Delivery Delays,Poor Customer Service,Lack of Variety","Better Loyalty Rewards,Live Chat Support,One-Click Checkout",5,Morning,Yes
35-44,Female,$1000-$2999,High School,Retired,1-2 times,$100-$199,"Home & Kitchen,Groceries,Health & Beauty",Mobile,Product Range,Very Unlikely,Yes,Unlikely,<$5,Sometimes,Maybe,High Shipping Costs,Sometimes,Neutral,Unlikely,Product Quality,AR Product Previews,7,Evening,Maybe
25-34,Female,<$1000,Bachelor’s,Student,10+ times,$50-$99,"Books,Other",Mobile,Discounts,Likely,Yes,Very Likely,$10-19,Yes,Yes,Security Concerns,Sometimes,Not Very Sensitive,Neutral,"Lack of Variety,Delivery Delays","Live Chat Support,Flexible Returns,One-Click Checkout",6,Afternoon,No
35-44,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$100-$199,Health & Beauty,Desktop/Laptop,Delivery Speed,Unlikely,Yes,Neutral,None,Yes,Yes,Complicated Checkout,Never,Very Sensitive,Likely,"Product Quality,Other",Better Loyalty Rewards,6,Morning,No
18-24,Female,<$1000,Bachelor’s,Unemployed,3-5 times,$50-$99,"Electronics,Health & Beauty,Home & Kitchen",Mobile,Price,Neutral,No,Neutral,$5-9,Yes,Yes,Changed Mind,Rarely,Very Sensitive,Likely,"Product Quality,Delivery Delays,Poor Customer Service","Flexible Returns,One-Click Checkout",7,Morning,Yes
55+,Female,$1000-$2999,Master’s,Self-employed,3-5 times,$50-$99,"Fashion,Groceries,Home & Kitchen",Desktop/Laptop,Delivery Speed,Likely,Yes,Unlikely,$5-9,Yes,Maybe,High Shipping Costs,Sometimes,Somewhat Sensitive,Very Likely,Delivery Delays,"One-Click Checkout,Better Loyalty Rewards,AR Product Previews",10,Evening,Yes
25-34,Male,$3000-$4999,Master’s,Employed,10+ times,$200+,"Groceries,Electronics,Health & Beauty",Mobile,Product Range,Likely,Yes,Very Likely,$10-19,No,No,Other,Sometimes,Not Very Sensitive,Unlikely,Poor Customer Service,"Better Loyalty Rewards,Flexible Returns,Other",5,Evening,No
25-34,Female,$5000-$9999,Master’s,Employed,3-5 times,$200+,Fashion,Mobile,Discounts,Neutral,No,Likely,$5-9,Sometimes,No,Other,Always,Somewhat Sensitive,Unlikely,"Other,Poor Customer Service,Product Quality",Better Loyalty Rewards,6,Evening,No
45-54,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,$100-$199,Home & Kitchen,Mobile,Brand,Very Likely,Yes,Neutral,$10-19,Yes,Yes,Complicated Checkout,Rarely,Very Sensitive,Very Likely,"Delivery Delays,Lack of Variety,Product Quality","AR Product Previews,Better Loyalty Rewards,One-Click Checkout",7,Morning,Yes
45-54,Male,"$10,000+",Bachelor’s,Employed,1-2 times,$20-$49,"Home & Kitchen,Electronics,Health & Beauty",Mobile,Price,Very Unlikely,Yes,Very Unlikely,$20+,Yes,Yes,Slow Delivery,Never,Somewhat Sensitive,Neutral,"Product Quality,Delivery Delays",One-Click Checkout,7,Evening,No
35-44,Female,$3000-$4999,High School,Retired,1-2 times,$20-$49,"Electronics,Groceries",Mobile,Brand,Unlikely,Yes,Likely,None,No,Yes,Complicated Checkout,Sometimes,Very Sensitive,Neutral,"Other,Poor Customer Service","Live Chat Support,Flexible Returns",8,Afternoon,Yes
35-44,Female,$1000-$2999,Bachelor’s,Self-employed,3-5 times,$20-$49,Home & Kitchen,Desktop/Laptop,Delivery Speed,Unlikely,No,Likely,None,No,Yes,Security Concerns,Often,Somewhat Sensitive,Very Likely,"Other,Delivery Delays,Lack of Variety",Other,2,Morning,Yes
18-24,Male,$1000-$2999,Bachelor’s,Employed,10+ times,<$20,"Groceries,Home & Kitchen,Electronics",Mobile,Delivery Speed,Neutral,Yes,Very Unlikely,$5-9,No,No,Complicated Checkout,Sometimes,Somewhat Sensitive,Very Unlikely,Product Quality,"Flexible Returns,One-Click Checkout,Better Loyalty Rewards",6,Morning,Yes
35-44,Female,$3000-$4999,High School,Employed,6-10 times,$100-$199,"Other,Home & Kitchen,Groceries",Mobile,Reviews,Likely,Yes,Unlikely,$5-9,Sometimes,Maybe,Changed Mind,Rarely,Somewhat Sensitive,Very Likely,"Delivery Delays,Lack of Variety","Flexible Returns,One-Click Checkout",9,Morning,Yes
18-24,Male,$1000-$2999,Bachelor’s,Employed,6-10 times,$20-$49,Groceries,Desktop/Laptop,Discounts,Neutral,No,Likely,$5-9,No,No,Complicated Checkout,Never,Somewhat Sensitive,Likely,Payment Issues,Live Chat Support,8,Evening,No
18-24,Male,$3000-$4999,Master’s,Student,6-10 times,$50-$99,"Electronics,Books",Mobile,Reviews,Very Likely,No,Neutral,None,No,No,Security Concerns,Never,Not Very Sensitive,Likely,"Delivery Delays,Payment Issues,Product Quality","Better Loyalty Rewards,One-Click Checkout,Live Chat Support",6,Evening,Yes
25-34,Male,$3000-$4999,High School,Self-employed,3-5 times,$50-$99,Home & Kitchen,Mobile,Delivery Speed,Very Unlikely,Maybe,Likely,$5-9,Sometimes,No,Complicated Checkout,Rarely,Not at All Sensitive,Likely,"Poor Customer Service,Product Quality",One-Click Checkout,1,Evening,Maybe
25-34,Male,$1000-$2999,High School,Self-employed,3-5 times,$50-$99,"Fashion,Home & Kitchen,Other",Mobile,Discounts,Neutral,No,Very Unlikely,$10-19,Yes,No,High Shipping Costs,Often,Somewhat Sensitive,Neutral,Payment Issues,"AR Product Previews,Better Loyalty Rewards,One-Click Checkout",7,Afternoon,No
25-34,Male,$3000-$4999,Bachelor’s,Unemployed,1-2 times,$100-$199,"Books,Home & Kitchen,Health & Beauty",Desktop/Laptop,Product Range,Likely,Yes,Very Likely,None,Sometimes,No,Changed Mind,Sometimes,Neutral,Very Likely,Payment Issues,"Better Loyalty Rewards,Other,Live Chat Support",9,Evening,No
25-34,Male,$3000-$4999,High School,Employed,3-5 times,<$20,Groceries,Mobile,Price,Unlikely,No,Unlikely,<$5,Sometimes,Yes,Other,Never,Somewhat Sensitive,Unlikely,Poor Customer Service,"One-Click Checkout,Other,Live Chat Support",9,Evening,Yes
35-44,Female,$1000-$2999,Bachelor’s,Employed,6-10 times,$50-$99,Groceries,Mobile,Reviews,Neutral,Yes,Unlikely,<$5,Sometimes,No,High Shipping Costs,Sometimes,Neutral,Likely,Lack of Variety,Flexible Returns,7,Evening,No
25-34,Male,$5000-$9999,Bachelor’s,Unemployed,3-5 times,$50-$99,"Books,Home & Kitchen",Mobile,Discounts,Likely,No,Unlikely,$20+,Sometimes,Yes,High Shipping Costs,Often,Not at All Sensitive,Likely,"Lack of Variety,Poor Customer Service",AR Product Previews,6,Evening,Maybe
35-44,Female,$1000-$2999,High School,Employed,3-5 times,$20-$49,Fashion,Mobile,Price,Very Likely,Yes,Likely,None,Yes,Yes,Slow Delivery,Rarely,Not Very Sensitive,Neutral,Poor Customer Service,"Flexible Returns,Better Loyalty Rewards,AR Product Previews",8,Evening,No
35-44,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$100-$199,"Books,Fashion",Mobile,Price,Likely,Yes,Neutral,<$5,No,No,Other,Sometimes,Not at All Sensitive,Likely,Delivery Delays,Live Chat Support,6,Night,No
55+,Female,$5000-$9999,Master’s,Employed,1-2 times,$50-$99,"Home & Kitchen,Electronics",Mobile,Brand,Neutral,No,Likely,<$5,No,No,Changed Mind,Sometimes,Very Sensitive,Neutral,Payment Issues,Flexible Returns,3,Evening,No
55+,Female,$1000-$2999,Bachelor’s,Employed,10+ times,$20-$49,"Books,Fashion",Mobile,Price,Likely,No,Likely,$5-9,Yes,Yes,Changed Mind,Never,Very Sensitive,Likely,"Delivery Delays,Lack of Variety","AR Product Previews,Better Loyalty Rewards,Live Chat Support",10,Morning,No
25-34,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,$20-$49,"Fashion,Groceries",Desktop/Laptop,Price,Neutral,Yes,Neutral,None,Sometimes,Yes,Complicated Checkout,Sometimes,Neutral,Likely,Product Quality,Flexible Returns,7,Afternoon,No
35-44,Female,$5000-$9999,Master’s,Unemployed,1-2 times,<$20,Books,Desktop/Laptop,Delivery Speed,Likely,No,Very Likely,$5-9,No,No,Slow Delivery,Rarely,Somewhat Sensitive,Unlikely,"Product Quality,Payment Issues",Other,8,Afternoon,Yes
18-24,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,$50-$99,Groceries,Mobile,Price,Unlikely,No,Unlikely,<$5,Yes,Maybe,Changed Mind,Often,Somewhat Sensitive,Unlikely,"Delivery Delays,Lack of Variety,Payment Issues",One-Click Checkout,5,Morning,Yes
35-44,Female,$5000-$9999,Bachelor’s,Student,3-5 times,$50-$99,"Groceries,Electronics",Desktop/Laptop,Brand,Very Likely,Yes,Unlikely,<$5,No,Yes,High Shipping Costs,Often,Very Sensitive,Neutral,Payment Issues,"AR Product Previews,Better Loyalty Rewards",7,Evening,Yes
35-44,Male,$3000-$4999,Master’s,Employed,3-5 times,$200+,"Health & Beauty,Electronics",Mobile,Reviews,Unlikely,No,Likely,None,Yes,No,Slow Delivery,Often,Neutral,Neutral,"Product Quality,Lack of Variety,Other","Flexible Returns,One-Click Checkout,AR Product Previews",4,Afternoon,Yes
25-34,Female,$3000-$4999,Doctorate,Student,3-5 times,$50-$99,"Health & Beauty,Electronics",Mobile,Reviews,Very Unlikely,Yes,Unlikely,None,No,Maybe,Security Concerns,Always,Somewhat Sensitive,Likely,Lack of Variety,"Live Chat Support,One-Click Checkout",3,Morning,No
35-44,Female,$5000-$9999,Master’s,Employed,Never,$50-$99,"Groceries,Fashion,Home & Kitchen",Mobile,Delivery Speed,Unlikely,Yes,Very Likely,$5-9,Yes,No,Other,Often,Not Very Sensitive,Very Likely,Delivery Delays,"Better Loyalty Rewards,One-Click Checkout",2,Afternoon,Yes
25-34,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,$100-$199,Other,Mobile,Product Range,Likely,No,Likely,$5-9,No,No,Complicated Checkout,Never,Neutral,Likely,"Poor Customer Service,Delivery Delays","Better Loyalty Rewards,Flexible Returns",3,Evening,No
35-44,Male,$3000-$4999,Master’s,Employed,3-5 times,$50-$99,"Books,Electronics",Mobile,Brand,Likely,Yes,Unlikely,None,Sometimes,Yes,Security Concerns,Sometimes,Neutral,Very Likely,Poor Customer Service,"Flexible Returns,One-Click Checkout",8,Night,No
25-34,Male,$1000-$2999,Master’s,Self-employed,6-10 times,<$20,"Books,Home & Kitchen",Desktop/Laptop,Price,Likely,Yes,Very Unlikely,<$5,Sometimes,No,Changed Mind,Sometimes,Very Sensitive,Unlikely,Lack of Variety,"Live Chat Support,Better Loyalty Rewards",5,Evening,Yes
45-54,Female,$3000-$4999,Master’s,Employed,3-5 times,$50-$99,"Fashion,Other,Health & Beauty",Mobile,Price,Unlikely,Yes,Neutral,<$5,No,Yes,Other,Often,Not Very Sensitive,Very Likely,"Product Quality,Lack of Variety,Poor Customer Service","One-Click Checkout,AR Product Previews",10,Afternoon,Yes
18-24,Male,$1000-$2999,High School,Student,6-10 times,<$20,"Home & Kitchen,Health & Beauty,Groceries",Mobile,Price,Very Likely,No,Likely,<$5,Yes,Yes,Slow Delivery,Often,Somewhat Sensitive,Very Unlikely,"Lack of Variety,Delivery Delays",AR Product Previews,6,Evening,Maybe
18-24,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$50-$99,"Fashion,Health & Beauty",Mobile,Price,Neutral,No,Very Likely,$10-19,Yes,Yes,Slow Delivery,Never,Not Very Sensitive,Likely,"Poor Customer Service,Product Quality,Other","Live Chat Support,Flexible Returns,Better Loyalty Rewards",1,Evening,No
45-54,Female,$1000-$2999,Bachelor’s,Employed,3-5 times,$50-$99,"Health & Beauty,Home & Kitchen",Desktop/Laptop,Discounts,Very Unlikely,Yes,Very Unlikely,None,No,Maybe,High Shipping Costs,Sometimes,Not Very Sensitive,Very Likely,"Product Quality,Payment Issues","One-Click Checkout,AR Product Previews,Live Chat Support",7,Afternoon,Yes
45-54,Male,$5000-$9999,Doctorate,Employed,3-5 times,$50-$99,Home & Kitchen,Mobile,Brand,Likely,No,Neutral,<$5,No,Maybe,Other,Never,Neutral,Likely,"Lack of Variety,Other",Better Loyalty Rewards,9,Afternoon,No
45-54,Male,$5000-$9999,Bachelor’s,Retired,3-5 times,$50-$99,"Fashion,Health & Beauty",Mobile,Brand,Neutral,Yes,Likely,<$5,No,Yes,Complicated Checkout,Often,Very Sensitive,Very Likely,Product Quality,Better Loyalty Rewards,9,Morning,Maybe
25-34,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$20-$49,"Fashion,Groceries,Health & Beauty",Mobile,Delivery Speed,Likely,No,Very Likely,None,Yes,Yes,High Shipping Costs,Often,Neutral,Likely,"Product Quality,Other,Poor Customer Service","Other,Flexible Returns,Live Chat Support",8,Night,Yes
35-44,Male,"$10,000+",High School,Employed,6-10 times,$100-$199,"Books,Other",Mobile,Brand,Very Unlikely,Yes,Likely,$10-19,Sometimes,Yes,High Shipping Costs,Sometimes,Somewhat Sensitive,Neutral,"Payment Issues,Lack of Variety","AR Product Previews,Better Loyalty Rewards,Live Chat Support",10,Night,Yes
45-54,Male,<$1000,High School,Employed,6-10 times,$20-$49,Books,Mobile,Price,Unlikely,Yes,Unlikely,<$5,No,No,Complicated Checkout,Rarely,Not Very Sensitive,Unlikely,"Product Quality,Delivery Delays",One-Click Checkout,8,Evening,Yes
25-34,Female,$5000-$9999,Bachelor’s,Retired,3-5 times,$20-$49,Health & Beauty,Mobile,Price,Very Likely,Maybe,Likely,<$5,Sometimes,Maybe,Complicated Checkout,Rarely,Not Very Sensitive,Very Likely,Lack of Variety,"Better Loyalty Rewards,AR Product Previews",5,Evening,Maybe
35-44,Female,$3000-$4999,Bachelor’s,Employed,Never,$50-$99,Electronics,Mobile,Discounts,Likely,No,Unlikely,<$5,Sometimes,Yes,Slow Delivery,Often,Somewhat Sensitive,Likely,Other,Better Loyalty Rewards,4,Evening,No
55+,Male,<$1000,Other,Unemployed,1-2 times,$100-$199,"Home & Kitchen,Health & Beauty,Fashion",Desktop/Laptop,Brand,Unlikely,No,Very Likely,<$5,No,No,Complicated Checkout,Rarely,Neutral,Very Unlikely,"Lack of Variety,Poor Customer Service,Product Quality","Flexible Returns,Live Chat Support",5,Afternoon,Maybe
25-34,Male,$5000-$9999,Master’s,Employed,6-10 times,$50-$99,"Groceries,Fashion,Home & Kitchen",Mobile,Price,Likely,No,Unlikely,$5-9,No,No,Changed Mind,Always,Neutral,Likely,"Lack of Variety,Other,Delivery Delays","Live Chat Support,One-Click Checkout,Better Loyalty Rewards",8,Night,Maybe
25-34,Male,$3000-$4999,Doctorate,Retired,1-2 times,$50-$99,"Electronics,Health & Beauty",Mobile,Price,Likely,Yes,Unlikely,$10-19,Yes,Yes,High Shipping Costs,Often,Very Sensitive,Very Unlikely,"Payment Issues,Delivery Delays,Lack of Variety",Live Chat Support,1,Afternoon,Maybe
35-44,Female,$1000-$2999,Master’s,Student,1-2 times,$50-$99,Other,Mobile,Product Range,Likely,No,Very Unlikely,<$5,Sometimes,Yes,Security Concerns,Never,Very Sensitive,Likely,"Delivery Delays,Payment Issues","Live Chat Support,One-Click Checkout",5,Morning,Maybe
